,useridentifier,headers.x-session-id,id,event,timestamp,feed
335,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5uazF4enljMzdpZw==,/fn/nop,screen_view_hp,2021-05-19 20:33:56.729,"{'screen_name': 'hp', 'filters': 'page~0'}"
349,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5uazF4enljMzdpZw==,/fn/nop,screen_view_cp,2021-05-19 20:33:56.473,"{'screen_name': 'cp', 'filters': ''}"
1500,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5uazF4enljMzdpZw==,/,,2021-05-19 20:33:55.803,
3675,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC56MHI4c2FlanpvZA==,/designer-cases/oneplus/oneplus-7-pto,,2021-05-20 07:30:35.443,
20435,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5lMW1yM2lkYnd6Nw==,/dailyobjects-tezy-lazy-stride-case-cover-for-iphone-12-pro/dp,,2021-05-20 05:37:29.443,
23395,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5lcmwwMDRzc3dh,/,,2021-05-20 03:46:44.373,
23413,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5lcmwwMDRzc3dh,/osp,,2021-05-20 03:47:03.310,
23433,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5lcmwwMDRzc3dh,/fn/nop,screen_view_dp,2021-05-20 03:47:01.345,"{'screen_name': 'dp', 'filters': 'pid~SKPR-SL-KHAK-BEGE-DOB-MED'}"
23613,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5lcmwwMDRzc3dh,/fn/nop,view_item,2021-05-20 03:46:59.108,"{'currency': 'INR', 'value': 1799, 'items': [[{'key': 'item_id', 'value': 'SKPR-SL-KHAK-BEGE-DOB-MED', 'type': 'STRING'}, {'key': 'item_name', 'value': 'Khaki Beige Skipper Sleeve Medium For MacBook Air/Pro 33.02cm (13\\in.)', 'type': 'STRING'}, {'key': 'item_category', 'value': '1103', 'type': 'STRING'}, {'key': 'price', 'value': 1799, 'type': 'DOUBLE'}, {'key': 'quantity', 'value': 1, 'type': 'INTEGER'}]]}"
23992,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5lcmwwMDRzc3dh,/fn/nop,screen_view_cp,2021-05-20 03:46:52.826,"{'screen_name': 'cp', 'filters': ''}"
24142,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5lcmwwMDRzc3dh,/fn/navigation/cart/update,,2021-05-20 03:47:00.837,
27479,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC40MzR1dWp2NjYzMw==,/dailyobjects-stride-red-clear-case-cover-for-iphone-12/dp,,2021-05-20 05:41:21.929,
57267,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC55dWJwYTR2MzNk,/fn/nop,screen_view_osp,2021-05-20 08:56:22.027,"{'screen_name': 'osp', 'filters': ''}"
57471,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC55dWJwYTR2MzNk,/map,,2021-05-20 08:56:24.341,
57472,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC55dWJwYTR2MzNk,/fn/nop,screen_view_aap,2021-05-20 08:56:24.504,"{'screen_name': 'aap', 'filters': 'aid~60a22d6449dc60039753e509,referer~osp'}"
59382,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC55dWJwYTR2MzNk,/osp,,2021-05-20 09:00:19.434,
59383,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC55dWJwYTR2MzNk,/fn/nop,screen_view_cp,2021-05-20 09:00:19.656,"{'screen_name': 'cp', 'filters': ''}"
59671,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC55dWJwYTR2MzNk,/dailyobjects-stride-red-clear-case-cover-for-iphone-12/dp,,2021-05-20 09:00:13.961,
64030,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5mdmxxeHlyMHpnYw==,/fn/nop,view_item,2021-05-20 05:56:26.468,"{'currency': 'INR', 'value': 1499, 'items': [[{'key': 'item_id', 'value': 'SCRLT-RED-CRDSAFD-PHN-WALT', 'type': 'STRING'}, {'key': 'item_name', 'value': 'Scarlet Red CardSafe Leather Phone Wallet', 'type': 'STRING'}, {'key': 'item_category', 'value': '1805', 'type': 'STRING'}, {'key': 'price', 'value': 1499, 'type': 'DOUBLE'}, {'key': 'quantity', 'value': 1, 'type': 'INTEGER'}]]}"
67890,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5jdjRzaGFpYjVl,/fn/navigation/cart/update,,2021-05-19 20:12:08.772,
67984,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5jdjRzaGFpYjVl,/bp,,2021-05-19 20:12:10.240,
67985,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5jdjRzaGFpYjVl,/fn/,,2021-05-19 20:12:10.240,
67986,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5jdjRzaGFpYjVl,/fn/nop,view_cart,2021-05-19 20:12:10.505,"{'currency': 'INR', 'value': 2598, 'items': [[{'key': 'item_id', 'value': 'PRVCY-GLAS-PROTC-AP-IPH12', 'type': 'STRING'}, {'key': 'item_name', 'value': 'iPhone 12 - CLOAKâ\x84¢ Privacy Glass Screen Protector', 'type': 'STRING'}, {'key': 'item_category', 'value': '1803', 'type': 'STRING'}, {'key': 'price', 'value': 1299, 'type': 'DOUBLE'}, {'key': 'quantity', 'value': 1, 'type': 'INTEGER'}], [{'key': 'item_id', 'value': 'TRAV-BUCK-DOB-PSPRT-COVER', 'type': 'STRING'}, {'key': 'item_name', 'value': 'Travel Bucket Passport Cover', 'type': 'STRING'}, {'key': 'item_category', 'value': '1403', 'type': 'STRING'}, {'key': 'price', 'value': 1299, 'type': 'DOUBLE'}, {'key': 'quantity', 'value': 1, 'type': 'INTEGER'}]]}"
68085,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5jdjRzaGFpYjVl,/fn/nop,view_cart,2021-05-19 20:12:09.029,"{'currency': 'INR', 'value': 3897, 'items': [[{'key': 'item_id', 'value': 'STRD-DELH-CITY-TAG-DOB-AP-IPH12', 'type': 'STRING'}, {'key': 'item_name', 'value': 'Delhi City Tag Stride Case Cover For iPhone 12', 'type': 'STRING'}, {'key': 'item_category', 'value': '1101', 'type': 'STRING'}, {'key': 'price', 'value': 1299, 'type': 'DOUBLE'}, {'key': 'quantity', 'value': 1, 'type': 'INTEGER'}], [{'key': 'item_id', 'value': 'PRVCY-GLAS-PROTC-AP-IPH12', 'type': 'STRING'}, {'key': 'item_name', 'value': 'iPhone 12 - CLOAKâ\x84¢ Privacy Glass Screen Protector', 'type': 'STRING'}, {'key': 'item_category', 'value': '1803', 'type': 'STRING'}, {'key': 'price', 'value': 1299, 'type': 'DOUBLE'}, {'key': 'quantity', 'value': 1, 'type': 'INTEGER'}], [{'key': 'item_id', 'value': 'TRAV-BUCK-DOB-PSPRT-COVER', 'type': 'STRING'}, {'key': 'item_name', 'value': 'Travel Bucket Passport Cover', 'type': 'STRING'}, {'key': 'item_category', 'value': '1403', 'type': 'STRING'}, {'key': 'price', 'value': 1299, 'type': 'DOUBLE'}, {'key': 'quantity', 'value': 1, 'type': 'INTEGER'}]]}"
68306,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5jdjRzaGFpYjVl,/fn/nop,identify,2021-05-19 20:12:00.911,"{'user_id': '4d96a0ca-262d-4f0f-b699-30817466a9f0', 'phone': '+919873518936'}"
68307,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5jdjRzaGFpYjVl,/fn/navigation/cart/update,,2021-05-19 20:12:00.914,
68308,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5jdjRzaGFpYjVl,/bp,,2021-05-19 20:12:00.927,
68433,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC53cHl3anUxenF5aw==,/blog,,2021-05-20 11:53:48.961,
68676,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5jdjRzaGFpYjVl,/fn/nop,screen_view_map,2021-05-19 20:14:06.630,"{'screen_name': 'map', 'filters': ''}"
68941,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5jdjRzaGFpYjVl,/psp,,2021-05-19 20:12:19.928,
68981,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5jbTU2M2dxNXphOQ==,/fn/nop,screen_view_cp,2021-05-19 20:14:39.737,"{'screen_name': 'cp', 'filters': ''}"
68982,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5jbTU2M2dxNXphOQ==,/fn/nop,purchase,2021-05-19 20:14:39.817,"{'currency': 'INR', 'value': 1.3, 'items': [[{'key': 'item_id', 'value': 'TRAV-BUCK-DOB-PSPRT-COVER', 'type': 'STRING'}, {'key': 'item_name', 'value': 'Travel Bucket Passport Cover', 'type': 'STRING'}, {'key': 'item_category', 'value': '1403', 'type': 'STRING'}, {'key': 'price', 'value': 1299, 'type': 'DOUBLE'}, {'key': 'quantity', 'value': 1, 'type': 'INTEGER'}]], 'transaction_id': '202118813'}"
69010,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5jdjRzaGFpYjVl,/fn/nop,screen_view_pip,2021-05-19 20:12:25.834,"{'screen_name': 'pip', 'filters': ''}"
69256,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5jdjRzaGFpYjVl,/fn/nop,screen_view_map,2021-05-19 20:14:06.586,"{'screen_name': 'map', 'filters': ''}"
69299,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5jbTU2M2dxNXphOQ==,/fn/nop,screen_view_cp,2021-05-19 20:14:39.737,"{'screen_name': 'cp', 'filters': ''}"
69300,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5jbTU2M2dxNXphOQ==,/fn/nop,purchase,2021-05-19 20:14:39.817,"{'currency': 'INR', 'value': 1.3, 'items': [[{'key': 'item_id', 'value': 'TRAV-BUCK-DOB-PSPRT-COVER', 'type': 'STRING'}, {'key': 'item_name', 'value': 'Travel Bucket Passport Cover', 'type': 'STRING'}, {'key': 'item_category', 'value': '1403', 'type': 'STRING'}, {'key': 'price', 'value': 1299, 'type': 'DOUBLE'}, {'key': 'quantity', 'value': 1, 'type': 'INTEGER'}]], 'transaction_id': '202118813'}"
69313,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5xMHNrN2x4cXY5,/fn/nop,view_item,2021-05-19 20:16:26.418,"{'currency': 'INR', 'value': 1499, 'items': [[{'key': 'item_id', 'value': 'BACK-DOB-ORSR-WALLET', 'type': 'STRING'}, {'key': 'item_name', 'value': 'Backpacking Travel Organiser Passport Wallet', 'type': 'STRING'}, {'key': 'item_category', 'value': '1403', 'type': 'STRING'}, {'key': 'price', 'value': 1499, 'type': 'DOUBLE'}, {'key': 'quantity', 'value': 1, 'type': 'INTEGER'}]]}"
69719,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC4yOTJ6cWhpdGNkdA==,/uap/olp,,2021-05-19 20:19:06.824,
69836,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5xMHNrN2x4cXY5,/dailyobjects-travel-bucket-passport-cover/dp,,2021-05-19 20:18:57.613,
70070,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5xMHNrN2x4cXY5,/fn/nop,screen_view_lp,2021-05-19 20:16:23.575,"{'screen_name': 'lp', 'filters': 'cid~1403,q~Passport'}"
70133,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC50NXdzdHJ1N3o5,/fn/nop,screen_view_cp,2021-05-20 07:49:04.245,"{'screen_name': 'cp', 'filters': ''}"
70785,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5xMHNrN2x4cXY5,/travel-organizers/lp,,2021-05-19 20:16:25.921,
70986,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC4yOTJ6cWhpdGNkdA==,/fn/nop,identify,2021-05-19 20:19:04.795,"{'user_id': '4d96a0ca-262d-4f0f-b699-30817466a9f0', 'phone': '+919873518936'}"
70987,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC4yOTJ6cWhpdGNkdA==,/fn/navigation/cart/update,,2021-05-19 20:19:04.799,
70988,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC4yOTJ6cWhpdGNkdA==,/uap,,2021-05-19 20:19:04.815,
70990,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC4yOTJ6cWhpdGNkdA==,/fn/nop,screen_view_uap,2021-05-19 20:19:05.062,"{'screen_name': 'uap', 'filters': ''}"
71373,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC50NXdzdHJ1N3o5,/designer-cases/oneplus/oneplus-6t,,2021-05-20 07:49:03.553,
71572,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC5oNjV3N2ZvNjNiZQ==,/,,2021-05-20 07:48:26.636,
72024,4d96a0ca-262d-4f0f-b699-30817466a9f0,MC4yaWVrOHVmZzZjbw==,/fn/nop,screen_view_cp,2021-05-20 11:59:17.177,"{'screen_name': 'cp', 'filters': ''}"
